"","M","trait","beta_EM","se_EM","p_EM","beta_MO","se_MO","p_MO"
"122","ebi-a-GCST90001512","CD25++ CD45RA- CD4 not regulatory T cell %T cell",0.0527114570721422,0.0327631279060787,0.107645815403518,-0.0221288068501634,0.0310461061379101,0.475986621664535
"123","ebi-a-GCST90001513","CD4 regulatory T cell Absolute Count",0.00293019594739373,0.0280537816759111,0.916812854914758,0.0182496607467299,0.0479529035580194,0.703518875112699
"124","ebi-a-GCST90001514","Hematopoietic Stem Cell Absolute Count",-0.0126898940255178,0.0381781401565694,0.739597517257105,-0.0596307032815776,0.0299974647390211,0.046827385808476
"125","ebi-a-GCST90001515","Immature Myeloid-Derived Suppressor Cells Absolute Count",0.0269155721005705,0.0357860668980187,0.451976285240268,-0.00944145315011736,0.0299669571615616,0.752714486304349
"126","ebi-a-GCST90001516","Immature Myeloid-Derived Suppressor Cells %CD33dim HLA DR- CD66b-",0.0144033233143456,0.0352562067517889,0.682882420715129,0.0303046538444634,0.0368090789074747,0.410341442105222
"127","ebi-a-GCST90001517","CD33+ HLA DR+ Absolute Count",-0.0234456754831748,0.0360638639985311,0.515617644521601,-0.0169676621453424,0.0184279954584848,0.357178547010871
"128","ebi-a-GCST90001518","CD33+ HLA DR+ CD14- Absolute Count",-0.031883892030297,0.0372201912378305,0.391650000424661,-0.00925847113357503,0.0150416525226857,0.538209909398792
"129","ebi-a-GCST90001519","CD33+ HLA DR+ CD14- %CD33+ HLA DR+",-0.022973566558599,0.0367900877536661,0.53233216392316,0.032238610222798,0.0307164931232443,0.293923335445736
"130","ebi-a-GCST90001520","CD33+ HLA DR+ CD14dim Absolute Count",-0.0107491656498283,0.0349983795433767,0.758741958934466,-0.0342000106913704,0.0235837321683722,0.147015967712059
"131","ebi-a-GCST90001521","CD33+ HLA DR+ CD14dim %CD33+ HLA DR+",0.0166791465586443,0.0411959167397488,0.685570292031078,-0.0383278506014304,0.0315777399368719,0.224838744183728
"132","ebi-a-GCST90001522","CD33- HLA DR- Absolute Count",-0.0443831003797211,0.0355519289667863,0.211883865088676,0.0409103423955445,0.0340442911702139,0.229487548990593
"133","ebi-a-GCST90001523","CD33- HLA DR+ Absolute Count",-0.0255512608483849,0.0370255548449762,0.490132569302685,-0.00325089873069453,0.0253944404331742,0.898136185024035
"134","ebi-a-GCST90001524","Granulocytic Myeloid-Derived Suppressor Cells Absolute Count",0.0620611187487701,0.033407164843728,0.0632089549337928,0.0550391810873571,0.0327997470163173,0.093339923728084
"135","ebi-a-GCST90001525","CD33dim HLA DR+ CD11b+ Absolute Count",0.00056463702053874,0.0359557321051407,0.987470797592405,-0.0287165454504877,0.0269551238238507,0.286719180482814
"136","ebi-a-GCST90001526","CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+",-0.00193004824783735,0.0420296197450143,0.963373100960853,-0.0373191021258339,0.0423727279013077,0.378461809791515
"137","ebi-a-GCST90001527","CD33dim HLA DR+ CD11b- Absolute Count",-0.00358851934779362,0.0488087913815149,0.941390747960357,-0.00632860204801893,0.0298896594494983,0.832315999665502
"138","ebi-a-GCST90001528","CD33dim HLA DR+ CD11b- %CD33dim HLA DR+",-0.00483106641514867,0.0424598345092771,0.909412446388963,0.0229202527720139,0.0307580287196588,0.456163207904357
"139","ebi-a-GCST90001529","CD66b++ myeloid cell Absolute Count",0.0475243510409317,0.0351210508584823,0.176004976888008,0.0954858932659072,0.0402870835807366,0.0177815119969188
"140","ebi-a-GCST90001530","Monocytic Myeloid-Derived Suppressor Cells Absolute Count",-0.0319336891765798,0.035365087887235,0.366540680061778,-0.0182879837090986,0.0383386840409597,0.633354108617915
"141","ebi-a-GCST90001531","CD33dim HLA DR- Absolute Count",0.0217781547987661,0.0368525818728763,0.554551713137451,-0.0318484892039425,0.0193618192295376,0.0999879555116356
"142","ebi-a-GCST90001532","Basophil Absolute Count",0.0119294864791943,0.0362819543910111,0.74230728235563,-0.0211898292781203,0.0160665955822558,0.187210946286402
"143","ebi-a-GCST90001533","Basophil %CD33dim HLA DR- CD66b-",-0.0263772039462325,0.0350050913204494,0.451134622683454,0.0385345834203771,0.0316188892070973,0.222950355036438
"144","ebi-a-GCST90001534","CD45RA- CD4+ T cell Absolute Count",0.0406429684882478,0.0292368401554801,0.164489821505656,-0.0358847796068123,0.0372307441100374,0.335122119241488
"145","ebi-a-GCST90001535","CD45RA- CD4+ T cell %CD4+ T cell",0.0861605702542432,0.0305871240309693,0.00484910985566694,0.0156502799309606,0.030211615497473,0.604442955670837
"146","ebi-a-GCST90001536","CD45RA- CD4+ T cell %T cell",0.0488198119036858,0.0281935081166149,0.0833452280647761,-0.0151800675988226,0.0190839421339105,0.426359529552763
"147","ebi-a-GCST90001537","Central Memory CD4+ T cell Absolute Count",0.00393951990185005,0.0270006804190932,0.883996804686844,-0.0181886975578179,0.0328802140649704,0.580139728700029
"148","ebi-a-GCST90001538","Central Memory CD4+ T cell %CD4+ T cell",0.0193924298813439,0.033392223645725,0.561411057316313,-0.00471965821482888,0.0279039730854957,0.865687080632103
"149","ebi-a-GCST90001539","Central Memory CD4+ T cell %T cell",-0.00017366899741029,0.0310106790681739,0.995531633244854,0.0263164259884176,0.0655392095585385,0.688024708396831
"150","ebi-a-GCST90001540","Naive CD4+ T cell Absolute Count",-0.048996014546396,0.0270537495185201,0.0701312730029971,0.0522352968010855,0.0542427738023659,0.335552097067492
"151","ebi-a-GCST90001541","Naive CD4+ T cell %CD4+ T cell",-0.0682080473999283,0.0290564563545866,0.018903337371295,-0.010414392606402,0.0350241406600395,0.766200088720668
"152","ebi-a-GCST90001542","Effector Memory CD4+ T cell Absolute Count",0.0608985213272749,0.0315799663088098,0.0538065162752313,0.0167373337060744,0.0283522305212509,0.554965613089731
